,product_id,title,link,discount_price,regular_price,brand
244,79965,"Light Weight Care корм для взрослых кошек в целях профилактики избыточного веса, 3,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-layt-veyt-kea-dlya-profilaktiki-izbytochno.html?offer=79966,685,685,Royal Canin
245,169654,"Kitten Cat Food Сухой корм для котят, с курицей, 0,3 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/suhoy-korm-dlya-kotyat-s-kuricey-1kg.html?offer=169661,578,679,KLICKER
246,168846,"Kitten Сухой корм для котят, с курицей, 900 гр.",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-s-kuricey-2kg.html?offer=168847,919,1225,Chat&Chat
247,169650,"Adult Cat Food Сухой корм для кошек, с ягненком, 0,3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-dlya-koshek-s-yagnenkom-1kg.html?offer=169659,552,649,KLICKER
248,164152,"Care Indoor Сухой корм для кошек, с индейкой и лососем, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-s-indeykoy-i-lososem-400g.html?offer=164056,1939,1939,Brit
249,135831,"Корм сухой для взрослых домашних кошек с тунцом, лососем и рисом, 300 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-domashnih-koshek-s-tuncom-lososem-i-risom.html?offer=135838,279,279,UnoCat
250,135931,"Science Plan Perfect Digestion Сухой корм для кошек для поддержания здоровья пищеварения и питания микробиома, с курицей и коричневым рисом, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/sp-korm-d-kosh-ideal-pishchevarenie-1-5kg.html?offer=135932,3499,3499,Hills
251,168843,"Adult Сухой корм для кошек, с говядиной и горохом, 900 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-govyadinoy-i-gorohom-2kg.html?offer=168845,489,575,Chat&Chat
252,135821,"Корм сухой для взрослых стерилизованных кошек с цыпленком, лососем и рисом, 300 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-sterilizovannyh-koshek-s-cyplenkom-lososem-i-risom.html?offer=135822,289,289,UnoCat
253,84514,"Indoor Appetite Control корм сухой для кошек для домашних кошек, склонных к набору веса, 400 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-indor-apetayt-kontrol-pak-400-g.html?offer=84516,2517,2517,Royal Canin
254,31158,"Science Plan Сухой корм для котят для здорового роста и развития, с тунцом, 300 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kotyat_i_beremennyh_koshek_tunets.html?offer=104603,529,529,Hills
255,135817,"Корм сухой для кошек старше 7 лет с цыпленком, 300 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-cyplenkom.html?offer=135818,279,279,UnoCat
256,159393,"Natural Cat Сухой корм для стерилизованных кошек с цыпленком и коричневым рисом, 500 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-dlya-sterilizovannyh-koshek-cyplenok-i-korichnevyy-ris-pak-500g.html?offer=159394,835,835,Guabi Natural
