,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
122,44941,"Кофе Dallmayr Crema Prodomo в зернах, 1кг",/products/dallmayr-crema-prodomo-v-zernah-1000-g,2419,1999,"[(1799, 'от 1 шт')]","('DALLMAYR',)"
123,508641,"Кофе Egoiste Noir в зернах, 250г",/products/egoiste-naturalnyj-zharenyj-v-zernah-noir-250g,669,499,"[(449, 'от 1 шт'), (399, 'от 12 шт')]","('EGOISTE',)"
124,530969,"RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г",/products/rioba-dlya-kofemashin-intenso-11x5g,329,229,"[(229, 'от 1 шт')]","('RIOBA',)"
125,75654,"Кофе Carte Noire Original растворимый сублимированный, 190г",/products/carte-noire-sublimirovannyj-original-190g,999,949,"[(929, 'от 1 шт')]","('CARTENOIRE',)"
126,236657,"Кофе Monarch Original жареный в зернах, 800г",/products/800g-kofe-monarch-original-zharenyy-v-zyornah,1499,1299,"[(899, 'от 1 шт')]","('MONARCH',)"
127,227971,"Кофе Fresco Arabica blend растворимый, 190г",/products/kofe-fresco-arabica-blend-rastvorimyy-190g,529,449,"[(429, 'от 1 шт')]","('FRESCO',)"
128,494570,"Кофе Jardin Colombia Supremo натуральный жареный в зернах, 1кг",/products/jardin-v-zernah-naturalnyj-zharenyj-colombia-supremo-1kg,1809,1449,"[(1449, 'от 1 шт')]","('JARDIN',)"
129,376496,"Кофе Kimbo Superior Blend натуральный жареный в зернах, 1кг",/products/kimbo-v-zernah-naturalnyj-zharenyj-superior-blend-1kg,2099,1899,"[(1849, 'от 1 шт')]","('KIMBO',)"
130,373046,"Кофе Жокей По-восточному молотый натуральный жареный, 250г",/products/art-373046,289,259,"[(249, 'от 1 шт')]","('ЖОКЕЙ',)"
131,238565,"Напиток кофейный Monarch Strong 3в1 растворимый (13г x 50шт), 650г",/products/napitok-kofeynyy-monarch-strong-3v1-rastvorimyy-13g-x-50sht-650g,939,589,"[(579, 'от 1 шт')]","('MONARCH',)"
132,119138,"Кофе в капсулах Jardin Andante Strong&Velvet для кофемашин Nespresso 10шт, 50г",/products/10h5g-jardin-andante,399,279,"[(279, 'от 1 шт')]","('JARDIN',)"
133,119139,"Кофе в капсулах Jardin Ristretto Intense&Full Bodied для кофемашин Nespresso 10шт, 50г",/products/10h5g-jardin-ristretto,399,279,"[(279, 'от 1 шт')]","('JARDIN',)"
134,234392,"Кофе Julius Meinl без кофеина зерновой, 500г",/products/kofe-julius-meinl-bez-kofeina-zernovoy-500g,1779,1699,"[(1699, 'от 1 шт')]","('JULIUSMEINL',)"
135,226333,"Кофе в капсулах Carte Noire Colombia Origin для кофемашин Nespresso 10шт, 52г",/products/10shth52g-kofe-carte-noire-colombia-origin-v-kapsulah,449,379,"[(349, 'от 1 шт')]","('CARTENOIRE',)"
136,226933,"Кофе Carraro Cafe crema в зернах, 1кг",/products/1kg-kofe-carraro-caffe-crema-v-zernah,1759,1599,"[(1549, 'от 1 шт')]","('CARRARO',)"
137,226347,"Кофе Carte Noire Voyage au Bresil растворимый, 90г",/products/90g-kofe-carte-noire-voyage-au-bresil-rastvorimyy-stb,559,479,"[(459, 'от 1 шт')]","('CARTENOIRE',)"
138,226467,"Кофе Alta Roma Caffe Latte молотый, 250г",/products/kofe-alta-roma-caffe-latte-molotiy-250g,293,279,"[(249, 'от 1 шт')]","('ALTAROMA',)"
139,469362,"Кофе Jardin Colombia Medellin натуральный растворимый сублимированный, 95г",/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g,251,229,"[(229, 'от 1 шт'), (203, 'от 24 шт')]","('JARDIN',)"
140,209740,"Кофе Bushido Light Katana растворимый, 100г",/products/100g-kofe-bushido-light-katana-rastvorimyy,1059,799,"[(749, 'от 1 шт')]","('BUSHIDO',)"
